Código de la clase de actividad SCIAN|Nombre de clase de la actividad
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212329|Minería de otras arcillas y de otros minerales refractarios
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212321|Minería de arena y grava para la construcción
213111|Perforación de pozos petroleros y de gas
212110|Minería de carbón mineral
212321|Minería de arena y grava para la construcción
212311|Minería de piedra caliza
212324|Minería de sílice
212398|Minería de minerales no metálicos para productos químicos
212324|Minería de sílice
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212222|Minería de plata
212391|Minería de sal
212391|Minería de sal
212312|Minería de mármol
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212392|Minería de piedra de yeso
212210|Minería de hierro
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212210|Minería de hierro
212321|Minería de arena y grava para la construcción
212311|Minería de piedra caliza
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212221|Minería de oro
212221|Minería de oro
212231|Minería de cobre
213119|Otros servicios relacionados con la minería
212232|Minería de plomo y zinc
212221|Minería de oro
212231|Minería de cobre
212221|Minería de oro
212231|Minería de cobre
212221|Minería de oro
212231|Minería de cobre
212325|Minería de caolín
212391|Minería de sal
212232|Minería de plomo y zinc
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212232|Minería de plomo y zinc
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212222|Minería de plata
212321|Minería de arena y grava para la construcción
212392|Minería de piedra de yeso
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212322|Minería de tezontle y tepetate
212321|Minería de arena y grava para la construcción
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212329|Minería de otras arcillas y de otros minerales refractarios
212311|Minería de piedra caliza
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212322|Minería de tezontle y tepetate
212210|Minería de hierro
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212222|Minería de plata
212325|Minería de caolín
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212210|Minería de hierro
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212322|Minería de tezontle y tepetate
212321|Minería de arena y grava para la construcción
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212329|Minería de otras arcillas y de otros minerales refractarios
212319|Minería de otras piedras dimensionadas
212322|Minería de tezontle y tepetate
212321|Minería de arena y grava para la construcción
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212329|Minería de otras arcillas y de otros minerales refractarios
212321|Minería de arena y grava para la construcción
212311|Minería de piedra caliza
212321|Minería de arena y grava para la construcción
212319|Minería de otras piedras dimensionadas
212311|Minería de piedra caliza
213119|Otros servicios relacionados con la minería
212221|Minería de oro
212393|Minería de barita
212299|Minería de otros minerales metálicos
212392|Minería de piedra de yeso
212232|Minería de plomo y zinc
212321|Minería de arena y grava para la construcción
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212321|Minería de arena y grava para la construcción
212312|Minería de mármol
212312|Minería de mármol
212312|Minería de mármol
212312|Minería de mármol
212312|Minería de mármol
212312|Minería de mármol
212312|Minería de mármol
212311|Minería de piedra caliza
212329|Minería de otras arcillas y de otros minerales refractarios
212321|Minería de arena y grava para la construcción
212319|Minería de otras piedras dimensionadas
212312|Minería de mármol
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212312|Minería de mármol
212312|Minería de mármol
212312|Minería de mármol
212312|Minería de mármol
212312|Minería de mármol
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212292|Minería de mercurio y antimonio
212312|Minería de mármol
212292|Minería de mercurio y antimonio
212292|Minería de mercurio y antimonio
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212232|Minería de plomo y zinc
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212210|Minería de hierro
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
212299|Minería de otros minerales metálicos
212231|Minería de cobre
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212391|Minería de sal
212324|Minería de sílice
212311|Minería de piedra caliza
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212311|Minería de piedra caliza
212391|Minería de sal
212311|Minería de piedra caliza
212311|Minería de piedra caliza
212321|Minería de arena y grava para la construcción
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212231|Minería de cobre
212231|Minería de cobre
212393|Minería de barita
212221|Minería de oro
212399|Minería de otros minerales no metálicos
212210|Minería de hierro
212210|Minería de hierro
212329|Minería de otras arcillas y de otros minerales refractarios
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212221|Minería de oro
212321|Minería de arena y grava para la construcción
212299|Minería de otros minerales metálicos
212231|Minería de cobre
212299|Minería de otros minerales metálicos
212321|Minería de arena y grava para la construcción
212299|Minería de otros minerales metálicos
212210|Minería de hierro
213119|Otros servicios relacionados con la minería
212231|Minería de cobre
212231|Minería de cobre
212231|Minería de cobre
212399|Minería de otros minerales no metálicos
213111|Perforación de pozos petroleros y de gas
213111|Perforación de pozos petroleros y de gas
212391|Minería de sal
213119|Otros servicios relacionados con la minería
212321|Minería de arena y grava para la construcción
213119|Otros servicios relacionados con la minería
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
213119|Otros servicios relacionados con la minería
212321|Minería de arena y grava para la construcción
212222|Minería de plata
213111|Perforación de pozos petroleros y de gas
211110|Extracción de petróleo y gas
211110|Extracción de petróleo y gas
211110|Extracción de petróleo y gas
212321|Minería de arena y grava para la construcción
213119|Otros servicios relacionados con la minería
212232|Minería de plomo y zinc
212399|Minería de otros minerales no metálicos
212299|Minería de otros minerales metálicos
212221|Minería de oro
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
213119|Otros servicios relacionados con la minería
212399|Minería de otros minerales no metálicos
212392|Minería de piedra de yeso
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
212110|Minería de carbón mineral
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212399|Minería de otros minerales no metálicos
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
213119|Otros servicios relacionados con la minería
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212222|Minería de plata
212399|Minería de otros minerales no metálicos
212319|Minería de otras piedras dimensionadas
212399|Minería de otros minerales no metálicos
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212311|Minería de piedra caliza
212321|Minería de arena y grava para la construcción
212311|Minería de piedra caliza
213111|Perforación de pozos petroleros y de gas
212221|Minería de oro
212391|Minería de sal
212393|Minería de barita
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212210|Minería de hierro
213119|Otros servicios relacionados con la minería
212210|Minería de hierro
212291|Minería de manganeso
212321|Minería de arena y grava para la construcción
212393|Minería de barita
213119|Otros servicios relacionados con la minería
212321|Minería de arena y grava para la construcción
212393|Minería de barita
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212221|Minería de oro
212321|Minería de arena y grava para la construcción
212231|Minería de cobre
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212221|Minería de oro
212394|Minería de roca fosfórica
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212392|Minería de piedra de yeso
212392|Minería de piedra de yeso
212392|Minería de piedra de yeso
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212231|Minería de cobre
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
213111|Perforación de pozos petroleros y de gas
213111|Perforación de pozos petroleros y de gas
213111|Perforación de pozos petroleros y de gas
213111|Perforación de pozos petroleros y de gas
213111|Perforación de pozos petroleros y de gas
211110|Extracción de petróleo y gas
213119|Otros servicios relacionados con la minería
213111|Perforación de pozos petroleros y de gas
213111|Perforación de pozos petroleros y de gas
211110|Extracción de petróleo y gas
211110|Extracción de petróleo y gas
211110|Extracción de petróleo y gas
211110|Extracción de petróleo y gas
211110|Extracción de petróleo y gas
213119|Otros servicios relacionados con la minería
213111|Perforación de pozos petroleros y de gas
211110|Extracción de petróleo y gas
211110|Extracción de petróleo y gas
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212231|Minería de cobre
212222|Minería de plata
212110|Minería de carbón mineral
212221|Minería de oro
212110|Minería de carbón mineral
212392|Minería de piedra de yeso
212393|Minería de barita
212291|Minería de manganeso
212110|Minería de carbón mineral
212321|Minería de arena y grava para la construcción
212299|Minería de otros minerales metálicos
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212395|Minería de fluorita
212395|Minería de fluorita
212321|Minería de arena y grava para la construcción
212110|Minería de carbón mineral
212321|Minería de arena y grava para la construcción
212210|Minería de hierro
212311|Minería de piedra caliza
212392|Minería de piedra de yeso
212311|Minería de piedra caliza
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212311|Minería de piedra caliza
212392|Minería de piedra de yeso
212321|Minería de arena y grava para la construcción
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212395|Minería de fluorita
212393|Minería de barita
212222|Minería de plata
212110|Minería de carbón mineral
212395|Minería de fluorita
212395|Minería de fluorita
212110|Minería de carbón mineral
212395|Minería de fluorita
212110|Minería de carbón mineral
212395|Minería de fluorita
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212395|Minería de fluorita
212395|Minería de fluorita
212210|Minería de hierro
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212324|Minería de sílice
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212311|Minería de piedra caliza
212311|Minería de piedra caliza
212311|Minería de piedra caliza
212311|Minería de piedra caliza
212311|Minería de piedra caliza
212110|Minería de carbón mineral
212110|Minería de carbón mineral
212311|Minería de piedra caliza
212321|Minería de arena y grava para la construcción
212399|Minería de otros minerales no metálicos
213119|Otros servicios relacionados con la minería
212231|Minería de cobre
212311|Minería de piedra caliza
213119|Otros servicios relacionados con la minería
212329|Minería de otras arcillas y de otros minerales refractarios
212222|Minería de plata
212329|Minería de otras arcillas y de otros minerales refractarios
212222|Minería de plata
212231|Minería de cobre
213119|Otros servicios relacionados con la minería
212232|Minería de plomo y zinc
212222|Minería de plata
212221|Minería de oro
213111|Perforación de pozos petroleros y de gas
212392|Minería de piedra de yeso
212392|Minería de piedra de yeso
212232|Minería de plomo y zinc
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212210|Minería de hierro
212311|Minería de piedra caliza
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212399|Minería de otros minerales no metálicos
212392|Minería de piedra de yeso
212393|Minería de barita
212399|Minería de otros minerales no metálicos
212393|Minería de barita
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212210|Minería de hierro
212210|Minería de hierro
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212392|Minería de piedra de yeso
212210|Minería de hierro
212210|Minería de hierro
212231|Minería de cobre
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
212210|Minería de hierro
213119|Otros servicios relacionados con la minería
212210|Minería de hierro
212210|Minería de hierro
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212391|Minería de sal
212392|Minería de piedra de yeso
212392|Minería de piedra de yeso
212321|Minería de arena y grava para la construcción
212311|Minería de piedra caliza
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212311|Minería de piedra caliza
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
211110|Extracción de petróleo y gas
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212231|Minería de cobre
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212329|Minería de otras arcillas y de otros minerales refractarios
212398|Minería de minerales no metálicos para productos químicos
212292|Minería de mercurio y antimonio
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212399|Minería de otros minerales no metálicos
212232|Minería de plomo y zinc
212321|Minería de arena y grava para la construcción
212391|Minería de sal
212221|Minería de oro
212329|Minería de otras arcillas y de otros minerales refractarios
212392|Minería de piedra de yeso
212321|Minería de arena y grava para la construcción
212329|Minería de otras arcillas y de otros minerales refractarios
212221|Minería de oro
212221|Minería de oro
212329|Minería de otras arcillas y de otros minerales refractarios
212325|Minería de caolín
212325|Minería de caolín
212311|Minería de piedra caliza
212311|Minería de piedra caliza
212392|Minería de piedra de yeso
212311|Minería de piedra caliza
212325|Minería de caolín
213119|Otros servicios relacionados con la minería
212222|Minería de plata
212222|Minería de plata
212231|Minería de cobre
212299|Minería de otros minerales metálicos
212232|Minería de plomo y zinc
213119|Otros servicios relacionados con la minería
212222|Minería de plata
212232|Minería de plomo y zinc
212221|Minería de oro
212221|Minería de oro
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
212221|Minería de oro
212221|Minería de oro
212221|Minería de oro
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
212221|Minería de oro
212221|Minería de oro
212221|Minería de oro
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
212221|Minería de oro
212299|Minería de otros minerales metálicos
212222|Minería de plata
212221|Minería de oro
212321|Minería de arena y grava para la construcción
212232|Minería de plomo y zinc
212222|Minería de plata
212392|Minería de piedra de yeso
212321|Minería de arena y grava para la construcción
213119|Otros servicios relacionados con la minería
212392|Minería de piedra de yeso
212311|Minería de piedra caliza
212399|Minería de otros minerales no metálicos
212321|Minería de arena y grava para la construcción
212324|Minería de sílice
211110|Extracción de petróleo y gas
212321|Minería de arena y grava para la construcción
212392|Minería de piedra de yeso
212312|Minería de mármol
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212221|Minería de oro
212221|Minería de oro
212222|Minería de plata
212221|Minería de oro
212221|Minería de oro
212221|Minería de oro
212221|Minería de oro
212221|Minería de oro
212221|Minería de oro
212221|Minería de oro
212221|Minería de oro
212221|Minería de oro
212232|Minería de plomo y zinc
212222|Minería de plata
212232|Minería de plomo y zinc
212232|Minería de plomo y zinc
212210|Minería de hierro
212321|Minería de arena y grava para la construcción
212210|Minería de hierro
212110|Minería de carbón mineral
212391|Minería de sal
213119|Otros servicios relacionados con la minería
212221|Minería de oro
212222|Minería de plata
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
212232|Minería de plomo y zinc
213119|Otros servicios relacionados con la minería
212222|Minería de plata
212222|Minería de plata
212221|Minería de oro
212232|Minería de plomo y zinc
212222|Minería de plata
212222|Minería de plata
212325|Minería de caolín
212391|Minería de sal
212221|Minería de oro
212329|Minería de otras arcillas y de otros minerales refractarios
212222|Minería de plata
213119|Otros servicios relacionados con la minería
212221|Minería de oro
213119|Otros servicios relacionados con la minería
212221|Minería de oro
212399|Minería de otros minerales no metálicos
212319|Minería de otras piedras dimensionadas
213119|Otros servicios relacionados con la minería
212221|Minería de oro
213119|Otros servicios relacionados con la minería
212221|Minería de oro
212231|Minería de cobre
212221|Minería de oro
213119|Otros servicios relacionados con la minería
213119|Otros servicios relacionados con la minería
212210|Minería de hierro
212232|Minería de plomo y zinc
213119|Otros servicios relacionados con la minería
212222|Minería de plata
213119|Otros servicios relacionados con la minería
212222|Minería de plata
213119|Otros servicios relacionados con la minería
212222|Minería de plata
212221|Minería de oro
212232|Minería de plomo y zinc
212319|Minería de otras piedras dimensionadas
212222|Minería de plata
212321|Minería de arena y grava para la construcción
212222|Minería de plata
212221|Minería de oro
213119|Otros servicios relacionados con la minería
212110|Minería de carbón mineral
212232|Minería de plomo y zinc
212319|Minería de otras piedras dimensionadas
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212319|Minería de otras piedras dimensionadas
212222|Minería de plata
212222|Minería de plata
212221|Minería de oro
212222|Minería de plata
212392|Minería de piedra de yeso
212312|Minería de mármol
212299|Minería de otros minerales metálicos
212329|Minería de otras arcillas y de otros minerales refractarios
212312|Minería de mármol
212392|Minería de piedra de yeso
212321|Minería de arena y grava para la construcción
212319|Minería de otras piedras dimensionadas
212311|Minería de piedra caliza
212321|Minería de arena y grava para la construcción
212321|Minería de arena y grava para la construcción
212312|Minería de mármol
212312|Minería de mármol
213119|Otros servicios relacionados con la minería
212312|Minería de mármol
212311|Minería de piedra caliza
212321|Minería de arena y grava para la construcción
212222|Minería de plata
212222|Minería de plata
212232|Minería de plomo y zinc
212222|Minería de plata
212221|Minería de oro
212329|Minería de otras arcillas y de otros minerales refractarios
212232|Minería de plomo y zinc
212329|Minería de otras arcillas y de otros minerales refractarios
